 Customer Name ,Age,Purchase Amount,City,Country
  Customer 48 ,21.0,320.36784069010747,Los Angeles,USA
  Customer 49 ,42.0,437.01568919198166,new york,USA
  Customer 50 ,31.0,403.7993176805661,chicago,USA
  Customer 51 ,67.0,101.41932885415756,chicago,USA
  Customer 52 ,26.0,447.3539092600891,Los Angeles,USA
  Customer 53 ,43.0,274.27769853866886,new york,USA
  Customer 54 ,19.0,405.64567603039063,Los Angeles,USA
  Customer 55 ,37.0,449.08473696251167,new york,USA
  Customer 56 ,45.0,165.8217027362133,nan,USA
  Customer 57 ,64.0,63.92544301856161,NEW YORK,USA
  Customer 58 ,24.0,121.68822964555143,NEW YORK,USA
  Customer 59 ,61.0,219.2828164268656,NEW YORK,USA
  Customer 60 ,25.0,410.8272353020216,Los Angeles,USA
  Customer 61 ,64.0,431.7579857956083,nan,USA
  Customer 62 ,52.0,13.406543960283445,new york,USA
  Customer 63 ,31.0,260.2661782630072,chicago,USA
  Customer 64 ,34.0,214.5313915429017,new york,USA
  Customer 65 ,53.0,118.83282713065782,chicago,USA
  Customer 66 ,67.0,68.73402999350458,new york,USA
  Customer 67 ,57.0,175.4314339877777,nan,USA
  Customer 68 ,21.0,472.0257549171344,chicago,USA
  Customer 69 ,19.0,168.36943669017006,Los Angeles,USA
  Customer 70 ,23.0,264.2074046542494,new york,USA
  Customer 71 ,59.0,354.4792898586372,new york,USA
  Customer 72 ,21.0,188.17850516585406,chicago,USA
  Customer 73 ,46.0,486.17322053327075,Los Angeles,USA
  Customer 74 ,35.0,481.5991745216345,Los Angeles,USA
  Customer 75 ,43.0,133.37332495442843,nan,USA
  Customer 76 ,61.0,253.65176788726887,Los Angeles,USA
  Customer 77 ,51.0,157.43037181021714,Los Angeles,USA
  Customer 78 ,27.0,149.57184224495913,Los Angeles,USA
  Customer 79 ,53.0,28.07460420372107,NEW YORK,USA
  Customer 80 ,31.0,308.68652365014947,nan,USA
  Customer 81 ,48.0,256.3127213821421,new york,USA
  Customer 82 ,65.0,35.224588112494786,chicago,USA
  Customer 83 ,32.0,146.5367674759396,new york,USA
  Customer 84 ,25.0,455.05028412366033,nan,USA
  Customer 85 ,31.0,127.38532642681649,chicago,USA
  Customer 86 ,40.0,80.99848732469931,nan,USA
  Customer 87 ,57.0,249.83185253600587,Los Angeles,USA
  Customer 88 ,38.0,492.9687225141943,chicago,USA
  Customer 89 ,33.0,128.6070830406352,Los Angeles,USA
  Customer 90 ,62.0,339.3464182288805,new york,USA
  Customer 91 ,35.0,383.1936115110716,new york,USA
  Customer 92 ,64.0,126.44239655627584,chicago,USA
  Customer 93 ,41.0,366.8260108198112,chicago,USA
  Customer 94 ,43.0,190.21373503243407,nan,USA
  Customer 95 ,42.0,319.82985699085395,nan,USA
  Customer 96 ,62.0,320.4295582728384,Los Angeles,USA
  Customer 97 ,200.0,50000.0,chicago,USA
  Customer 98 ,-10.0,5.0,new york,USA
  Customer 99 ,,,nan,USA
  Customer 0 ,56.0,79.0528702376337,Los Angeles,USA
  Customer 1 ,69.0,403.07652056947944,new york,USA
